"","business_id","sug1","sug2","sug3","sug4_byattribute"
"15","-9eNGMp8XiygI8t8QFuFWw","Fresh food is essential for your business. Keep the materials fresh!","Parking lots create convinience for your customers. More parking places can increase your rating!","Train your waiters to be more warm to customers.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"16","-A4suUjxa7gNaiUMDjO42g","Fresh food is essential for your business. Keep the materials fresh!","Parking lots create convinience for your customers. More parking places can increase your rating!","Make your table more clean."," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"17","-a857YYdjzgOdOjFFRsRXQ","The waiting time for customers may be too long. Shorten that time benefits your business! ","Loud enviroment can drive people crazy. Try to control the noise in your restaurant.","Fresh food is essential for your business. Keep the materials fresh!"," Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"18","-aMC2Dy2rqHicz9HjmXimA","Parking lots create convinience for your customers. More parking places can increase your rating!","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Since your location may be difficult to find, a marked sign can help a lot."," Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"19","-Bdw-5H5C4AYSMGnAvmnzw","Train your waiters to be more friendly.","Train your waiters to be more courteous.","Since your location may be difficult to find, a marked sign can help a lot.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"20","-bE8nlxctAfJQ3Un4MaZXQ","The waiting time for customers may be too long. Shorten that time benefits your business! ","Loud enviroment can drive people crazy. Try to control the noise in your restaurant.","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"21","-Biboxy2pG3MovBOF_r4SQ","The waiting time for customers may be too long. Shorten that time benefits your business! ","Parking lots create convinience for your customers. More parking places can increase your rating!","Train your waiters to be more friendly.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"22","-cBQKodqi77Q0vk-9iDvQA","Parking lots create convinience for your customers. More parking places can increase your rating!","Fresh food is essential for your business. Keep the materials fresh!","Train your waiters to be more courteous.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"23","-ccmPDvaDFx5TbdKB1rgCA","The waiting time for customers may be too long. Shorten that time benefits your business! ","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Having happy hour in your restaurant can make your restaurant more popular.","Provide cater will increase 0.2 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"24","-CQokjildrY7UZezXCdEBw","Parking lots create convinience for your customers. More parking places can increase your rating!","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Making better coffee is a good way to increase rating.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"25","-d0Ou1JmEK2j5HR4PGMahA","The waiting time for customers may be too long. Shorten that time benefits your business! ","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Train your waiters to be more warm to customers.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"26","-d8gt_XhhUQh2CxlWJe-xw","Train your waiters to be more friendly.","Train your waiters to be more warm to customers.","Parking lots create convinience for your customers. More parking places can increase your rating!","Provide cater will increase 0.2 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"27","-dIguFQ4Q7pFV55JtzN48g","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more friendly.","Parking lots create convinience for your customers. More parking places can increase your rating!","Provide cater will increase 0.2 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"28","-dOjdFq-kFhQTrG-yLYc_w","Train your waiters to be more friendly.","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Train your waiters to be more courteous.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"29","-DUQQsE2QvFIuqO5EiChQA","Parking lots create convinience for your customers. More parking places can increase your rating!","The waiting time for customers may be too long. Shorten that time benefits your business! ","Making better coffee is a good way to increase rating."," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"30","-dWbB9wKYsH-HESAANWajw","The waiting time for customers may be too long. Shorten that time benefits your business! ","Fresh food is essential for your business. Keep the materials fresh!","Having happy hour in your restaurant can make your restaurant more popular."," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"31","-E99ntlcOByVayPyA9Ak8A","Train your waiters to be more courteous.","Parking lots create convinience for your customers. More parking places can increase your rating!","Make your table more clean.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"32","-eoeNEsPZ5-Fookdtr8vBw","Fresh food is essential for your business. Keep the materials fresh!","Parking lots create convinience for your customers. More parking places can increase your rating!","Train your waiters to be more friendly.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"33","-EVu9Hy0YzUvfCBc0_1cgQ","Parking lots create convinience for your customers. More parking places can increase your rating!","Making better coffee is a good way to increase rating.","The waiting time for customers may be too long. Shorten that time benefits your business! "," Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"34","-F0B5F1YLx7093otwgboxw","Making better coffee is a good way to increase rating.","Make your customers feel welcomed.","Reasonable Price should be considered.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"35","-faYl3ejjjm7ciR_j1ke7A","Train your waiters to be more friendly.","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more courteous.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"36","-fbpSXmv2RhFc-h6JyC0aw","Train your waiters to be more friendly.","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more courteous.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"37","-FLnsWAa4AGEW4NgE8Fqew","Train your waiters to be more courteous.","The waiting time for customers may be too long. Shorten that time benefits your business! ","Make your table more clean."," Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"38","-FrgepJj0h-OWU1CupUrOQ","Train your waiters to be more warm to customers.","Train your waiters to be more courteous.","Having table for large group can attract more customers.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"39","-FtngCwHCD2tRlH8jpj_Ag","The waiting time for customers may be too long. Shorten that time benefits your business! ","Parking lots create convinience for your customers. More parking places can increase your rating!","Fresh food is essential for your business. Keep the materials fresh!","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"40","-gcS8S7aiHTwYROMC5QP5A","Parking lots create convinience for your customers. More parking places can increase your rating!","Making better coffee is a good way to increase rating.","Clear and extensive menu suits customers well.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"41","-GOsHrWPC0meDRgkCEgC8w","Train your waiters to be more friendly.","Fresh food is essential for your business. Keep the materials fresh!","Since your location may be difficult to find, a marked sign can help a lot.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"42","-GWI_4FktOD7fwHW1DgZCA","The waiting time for customers may be too long. Shorten that time benefits your business! ","Parking lots create convinience for your customers. More parking places can increase your rating!","Train your waiters to be more friendly.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"43","-gXDD2oSHBDA3zgjX6g9pQ","Train your waiters to be more friendly.","Parking lots create convinience for your customers. More parking places can increase your rating!","Fresh food is essential for your business. Keep the materials fresh!","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"44","-h63vGh2VmYtijnvp1PoPA","Train your waiters to be more friendly.","Parking lots create convinience for your customers. More parking places can increase your rating!","Fresh food is essential for your business. Keep the materials fresh!"," Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"45","-hBRP99YCr_8Xb8WG5YQmg","Parking lots create convinience for your customers. More parking places can increase your rating!","Fresh food is essential for your business. Keep the materials fresh!","Having happy hour in your restaurant can make your restaurant more popular."," Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"46","-HgbBv9Yjqv735F9fwCZNg","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more friendly.","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Provide cater will increase 0.2 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"47","-hliqBp7tq7Z5XLaTLAXAg","The waiting time for customers may be too long. Shorten that time benefits your business! ","Sports games make customers excited. It would be great if you can play the sport games on your TV!","More TVs can make your place attractive."," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"48","-hMdEBaeky47g4D8-0Xl3Q","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more courteous.","Loud enviroment can drive people crazy. Try to control the noise in your restaurant.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"49","-Ht7HiGBox8lS1Y8IPjO8g","Fresh food is essential for your business. Keep the materials fresh!","Loud enviroment can drive people crazy. Try to control the noise in your restaurant.","Make your customers feel welcomed.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"50","-i_SmxvRpzybd9PG6qFMbg","The waiting time for customers may be too long. Shorten that time benefits your business! ","Parking lots create convinience for your customers. More parking places can increase your rating!","Train your waiters to be more friendly.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"51","-i1NHzA-ymVc0vNKwNa88Q","The waiting time for customers may be too long. Shorten that time benefits your business! ","Parking lots create convinience for your customers. More parking places can increase your rating!","Train your waiters to be more friendly.","Provide cater will increase 0.2 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"52","-I27yVw2x_-31_OOMSH02w","Train your waiters to be more courteous.","Making better coffee is a good way to increase rating.","Keep your kitchen clean."," Provide BusinessParking will increase 0.25 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"53","-irL8MZUZMWMUnUgGyFQhg","The waiting time for customers may be too long. Shorten that time benefits your business! ","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Having happy hour in your restaurant can make your restaurant more popular.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"54","-JfncbVURtvuzBbof40o1w","Train your waiters to be more friendly.","The waiting time for customers may be too long. Shorten that time benefits your business! ","Fresh food is essential for your business. Keep the materials fresh!"," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"55","-Js0NjBhIXdH343IDLeKpA","Train your waiters to be more courteous.","Train your waiters to be more friendly.","Parking lots create convinience for your customers. More parking places can increase your rating!","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"56","-K_qGSp7q61BkkjP_FSsEQ","Train your waiters to be more friendly.","Make your customers feel welcomed.","Train your waiters to be more courteous.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"57","-kbPPBNsIPDfMfgUGO7QhA","The waiting time for customers may be too long. Shorten that time benefits your business! ","Making better coffee is a good way to increase rating.","Parking lots create convinience for your customers. More parking places can increase your rating!","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"58","-kmPZ1i8fJBCAlVcTWqAeA","Train your waiters to be more friendly.","Fresh food is essential for your business. Keep the materials fresh!","The waiting time for customers may be too long. Shorten that time benefits your business! ","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"59","-KqwcJ10CUzl-hEwgwGhUA","Train your waiters to be more courteous.","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more friendly.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"60","-kzdfAFoqPpJU903Zt_aeA","The waiting time for customers may be too long. Shorten that time benefits your business! ","Sports games make customers excited. It would be great if you can play the sport games on your TV!","Having happy hour in your restaurant can make your restaurant more popular.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
