,stars_business,Alcohol,Ambience_casual,Ambience_classy,Ambience_divey,Ambience_hipster,Ambience_intimate,Ambience_romantic,Ambience_touristy,Ambience_trendy,Ambience_upscale,BikeParking,BusinessAcceptsCreditCards,BusinessParking_garage,BusinessParking_lot,BusinessParking_street,BusinessParking_valet,BusinessParking_validated,Caters,GoodForKids,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_dessert,GoodForMeal_dinner,GoodForMeal_latenight,GoodForMeal_lunch,NoiseLevel,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTakeOut,WiFi
11,5.0,None,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,None,None,None,None,None,None,None,False,casual,True,True,1,False,True,no
12,3.5,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,None,False,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,None
13,3.0,full_bar,True,False,False,False,False,False,False,False,False,None,True,False,True,False,False,False,True,True,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,free
14,2.0,None,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,None,True,False,False,False,False,False,False,average,False,casual,False,True,1,False,True,free
15,4.0,None,None,None,None,None,None,None,None,None,None,True,True,None,None,None,None,None,None,True,True,False,False,False,False,False,average,None,casual,True,False,1,False,True,None
16,4.0,full_bar,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,quiet,True,casual,False,True,2,False,True,no
17,2.5,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,very_loud,False,casual,False,True,2,False,True,no
18,3.0,full_bar,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,True,loud,True,casual,False,True,2,True,True,free
19,3.5,full_bar,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False,True,True,True,True,False,False,False,False,average,True,casual,True,True,2,False,True,free
20,3.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,True,average,True,casual,False,True,2,True,True,free
21,2.5,None,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,None,None,None,None,None,None,quiet,True,None,False,True,1,False,True,no
22,2.5,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,average,False,casual,False,True,1,False,True,free
23,4.5,full_bar,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,None,False,False,True,True,False,False,True,average,True,casual,False,True,2,True,True,free
24,3.5,None,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,average,False,casual,False,True,1,False,True,no
25,4.0,full_bar,True,False,None,False,False,False,False,False,False,False,None,True,True,True,False,False,False,True,True,True,False,False,False,True,average,True,casual,False,True,2,False,False,free
26,3.5,None,False,False,None,False,False,False,False,False,False,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,None,casual,True,True,2,False,True,free
27,3.0,full_bar,True,False,False,False,False,False,False,False,False,None,True,False,True,False,False,False,None,True,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,None
28,3.5,full_bar,False,False,False,True,False,False,False,False,False,True,None,False,False,True,False,False,False,True,None,None,None,None,None,None,average,False,casual,False,True,2,True,True,no
29,3.5,full_bar,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,None,False,False,False,False,False,False,False,loud,True,casual,False,True,2,False,True,no
30,2.5,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,True,casual,True,True,2,True,True,free
31,4.0,beer_and_wine,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,average,True,casual,False,True,2,True,True,no
32,2.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,average,False,casual,False,True,2,True,True,free
33,2.5,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,average,False,casual,False,True,1,False,True,free
34,4.0,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,very_loud,True,casual,False,True,1,False,True,free
35,4.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,True,average,True,casual,False,True,2,True,True,free
36,2.0,full_bar,True,False,False,False,False,False,False,False,False,None,True,True,False,False,False,False,None,True,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,no
37,4.0,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,loud,False,casual,False,True,2,True,True,None
38,2.5,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,True,False,True,True,average,False,casual,True,True,1,False,True,free
39,4.5,full_bar,False,True,None,False,True,False,False,False,False,True,None,False,True,False,False,False,None,False,False,False,False,False,False,True,quiet,True,dressy,False,True,3,True,False,free
40,3.5,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,True,average,True,casual,False,True,2,False,True,no
41,2.5,None,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,None,False,False,False,False,False,False,False,None,True,casual,False,True,2,False,True,free
42,4.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,average,True,casual,False,True,2,False,True,no
43,3.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,loud,True,casual,False,True,2,False,True,free
44,2.0,None,False,False,False,False,False,False,False,False,False,None,None,None,None,None,None,None,False,False,None,None,None,None,None,None,loud,False,casual,False,False,1,False,True,no
45,3.0,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,average,True,casual,False,True,1,False,True,no
46,2.5,full_bar,True,False,False,False,False,False,False,False,False,True,None,False,True,False,False,False,False,True,False,False,False,True,False,True,very_loud,True,casual,False,True,2,True,True,no
47,2.5,full_bar,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,False,None,None,None,2,None,True,None
48,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
49,3.5,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,False,average,True,casual,True,True,1,False,True,free
50,3.5,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,None,None,None,None,None,None,average,True,casual,False,True,1,False,True,no
51,3.0,full_bar,True,False,False,False,False,False,False,False,False,True,None,False,False,True,False,False,False,False,False,False,False,True,False,False,average,True,casual,False,True,2,True,True,None
52,3.0,full_bar,False,False,False,False,False,False,False,False,False,None,None,False,False,False,False,False,True,True,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,no
53,3.0,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,False,casual,False,False,2,False,True,None
54,3.5,full_bar,False,False,None,False,False,False,False,False,False,None,None,False,False,False,False,False,None,False,None,None,None,None,None,None,average,True,casual,None,True,2,True,None,None
55,2.5,None,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,True,None,None,None,None,None,None,None,None,None,False,True,1,False,True,None
56,3.5,None,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,average,False,casual,False,True,2,False,True,no
57,4.0,None,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,None,None,None,None,None,None,average,False,casual,False,True,1,False,True,free
58,4.5,beer_and_wine,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,True,False,True,average,True,casual,False,True,2,False,True,free
59,3.5,full_bar,None,None,None,None,None,None,None,None,None,None,True,False,False,False,False,False,None,None,None,None,None,None,None,None,None,True,casual,None,True,3,True,None,None
60,3.0,None,False,False,False,False,False,False,False,False,False,True,True,None,None,None,None,None,None,True,False,False,False,False,False,False,quiet,False,casual,False,True,1,False,True,no
61,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,loud,True,casual,False,True,2,False,True,free
62,3.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
63,3.0,None,False,False,False,False,False,False,False,False,False,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,average,False,casual,False,False,2,False,True,None
64,4.5,None,None,None,None,None,None,None,None,None,None,True,True,False,False,False,False,False,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None
65,2.5,None,False,False,None,False,False,False,False,False,False,True,None,False,False,False,False,False,False,True,False,False,False,False,False,False,average,False,casual,None,True,2,False,True,None
66,2.5,full_bar,True,False,False,False,False,False,False,False,False,None,True,True,False,True,False,False,False,False,None,None,None,None,None,None,loud,True,casual,False,True,2,True,True,free
67,4.0,full_bar,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,None,True,False,False,False,True,False,True,average,True,casual,False,True,2,True,True,no
68,3.0,full_bar,False,False,False,False,False,False,False,True,False,True,None,False,True,False,False,False,False,True,False,False,True,True,False,True,average,True,casual,False,True,2,True,True,free
69,2.0,full_bar,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,None,True,None,None,None,None,None,None,very_loud,True,casual,False,True,2,False,True,free
70,3.0,full_bar,True,False,False,False,False,False,False,False,False,None,True,False,True,False,False,False,None,True,None,None,None,None,None,None,average,False,casual,False,True,2,False,True,no
71,3.5,full_bar,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,average,True,casual,False,True,1,True,True,free
72,3.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,average,True,casual,True,True,2,True,True,free
73,3.5,full_bar,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,None,None,None,None,None,None,average,True,dressy,False,True,3,True,True,free
74,4.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,average,True,casual,False,True,2,True,True,free
75,2.0,full_bar,None,None,None,None,None,None,None,None,None,None,True,True,False,False,False,False,None,False,None,None,None,None,None,None,None,True,casual,False,True,2,False,True,None
76,3.0,full_bar,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,True,False,loud,True,casual,False,True,2,True,True,free
77,4.5,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,average,False,casual,True,True,1,False,True,no
78,4.0,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,None,None,None,None,None,None,average,False,casual,True,True,2,True,True,free
79,4.0,None,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,None,True,True,False,False,False,False,False,average,True,casual,False,True,1,False,True,free
80,3.0,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,True,True,True,average,True,casual,False,True,1,False,True,no
81,3.5,None,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,None,None,None,None,None,None,average,False,casual,False,True,2,True,True,None
82,3.5,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,None,False,None,None,None,None,None,None,loud,True,dressy,False,True,2,True,False,no
83,2.0,full_bar,True,False,False,False,False,False,False,False,False,True,None,False,False,False,False,False,False,False,False,False,False,True,True,False,loud,True,casual,False,True,2,True,True,no
84,2.5,beer_and_wine,True,False,False,False,False,False,False,False,False,True,None,False,True,False,False,False,False,True,None,None,None,None,None,None,average,False,casual,False,True,2,False,True,free
85,3.5,full_bar,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,True,average,True,casual,True,True,2,True,True,free
86,2.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
87,2.5,full_bar,False,False,False,False,False,False,False,False,False,None,True,False,False,False,False,False,False,False,None,None,None,None,None,None,loud,True,dressy,False,True,3,False,True,free
88,4.0,None,True,False,False,False,False,False,False,False,False,True,None,None,None,None,None,None,True,True,False,False,False,True,False,False,average,True,casual,None,True,2,None,True,no
89,4.0,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,None,False,False,False,False,True,False,True,quiet,True,casual,False,True,2,True,True,free
90,3.5,full_bar,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,average,True,casual,False,True,2,True,True,free
91,4.5,None,False,False,False,False,False,False,False,False,False,None,True,False,False,False,False,False,True,True,None,None,None,None,None,None,average,False,casual,False,True,1,False,True,no
92,3.5,None,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,True,None,None,None,None,None,None,None,False,None,False,True,2,False,True,free
93,3.0,full_bar,False,False,False,False,False,False,False,False,False,None,True,False,True,True,False,False,None,True,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,free
94,4.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,False,False,False,True,average,True,casual,False,True,1,False,True,no
95,3.0,full_bar,False,False,False,False,False,False,False,False,False,None,True,False,False,True,False,False,True,True,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,free
96,4.0,None,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,None,None,None,None,None,None,average,False,casual,False,True,1,False,True,no
97,3.5,None,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,None,True,None,None,None,None,None,None,average,False,casual,False,True,1,False,True,None
98,3.0,full_bar,True,False,False,False,False,False,False,False,False,True,None,None,None,None,None,None,False,True,None,None,None,None,None,None,very_loud,True,casual,False,False,2,True,True,free
99,3.0,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,average,True,casual,False,True,1,False,True,no
100,4.0,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,average,False,casual,False,True,2,False,True,free
101,3.0,None,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,average,False,casual,False,True,1,False,True,free
102,4.0,None,False,False,None,False,False,False,False,False,False,None,None,False,False,False,False,False,None,True,None,None,None,None,None,None,None,None,casual,False,False,1,False,True,None
103,4.5,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,loud,False,casual,False,True,2,False,True,free
104,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,None,False,False,False,False,False,False,True,False,True,False,True,False,True,average,True,casual,False,True,2,True,True,free
105,4.0,full_bar,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,None,None,None,None,None,None,None,True,casual,False,True,2,True,True,free
106,3.0,None,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,very_loud,False,casual,False,True,1,False,True,free
107,3.5,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,average,True,casual,False,True,1,True,True,free
108,4.0,None,False,False,False,False,False,False,False,False,False,True,True,None,None,None,None,None,None,True,False,False,False,False,False,True,average,True,casual,False,True,1,False,True,free
109,1.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,False,None,None,None,None,None,None,None,None,None,None,False,None,False,True,None
110,4.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,average,False,casual,False,True,2,False,True,no
111,4.0,None,None,None,None,None,None,None,None,None,None,False,None,None,None,None,None,None,None,None,False,False,False,False,False,False,None,None,casual,False,True,2,True,True,free
112,4.5,None,None,None,None,None,None,None,None,None,None,True,True,False,True,False,False,False,True,None,None,None,None,None,None,None,None,False,None,False,None,1,False,True,free
113,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,None,formal,True,True,1,False,True,no
114,3.0,full_bar,True,False,False,False,False,False,False,False,False,False,None,False,False,False,False,False,False,True,None,None,None,None,None,None,average,False,casual,False,True,2,True,True,None
115,3.5,full_bar,False,False,None,False,False,False,False,False,False,True,None,False,False,False,False,False,None,False,False,False,False,False,False,False,average,True,casual,False,True,2,True,True,no
116,3.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,True,False,True,average,True,casual,False,True,2,False,True,free
117,3.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,average,False,casual,False,True,1,False,True,None
118,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,average,True,casual,False,True,2,True,True,no
119,2.0,None,False,False,False,False,False,False,False,False,False,None,True,False,False,False,False,False,None,True,None,None,None,None,None,None,None,None,None,False,True,1,False,None,None
120,3.0,full_bar,None,None,None,None,None,None,None,None,None,False,None,None,None,None,None,None,None,False,None,None,None,None,None,None,average,True,casual,False,True,2,False,True,None
121,4.0,None,None,None,None,None,None,None,None,None,None,None,True,False,False,False,False,False,None,True,None,None,None,None,None,None,None,False,casual,False,True,1,False,True,None
122,3.5,beer_and_wine,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,average,True,casual,False,True,2,True,True,no
123,2.5,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,None,True,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,free
124,4.0,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,None,True,False,False,False,True,False,True,quiet,True,casual,False,True,1,False,True,free
125,3.5,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,True,average,False,casual,False,True,1,False,True,free
126,3.0,None,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,None,None,None,None,None,None,quiet,False,casual,False,True,1,False,True,free
127,2.0,None,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,None,True,True,False,False,False,False,False,average,False,casual,False,True,2,False,True,free
128,3.0,None,False,False,False,False,False,False,False,False,False,True,True,None,None,None,None,None,None,True,False,False,False,False,False,True,None,True,casual,False,True,2,False,True,no
129,3.5,full_bar,False,False,False,False,False,False,False,False,False,None,True,False,False,False,False,False,None,True,None,None,None,None,None,None,None,False,casual,False,True,1,False,True,None
130,3.5,full_bar,True,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False,False,True,False,False,False,True,False,True,average,False,casual,False,True,2,False,True,no
131,3.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
132,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,average,False,casual,False,True,3,True,True,no
133,3.0,full_bar,True,False,None,False,False,False,False,False,False,False,None,False,True,False,False,False,False,False,None,None,None,None,None,None,average,False,casual,True,True,2,True,True,no
134,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,average,False,casual,False,True,1,False,True,no
135,3.5,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,quiet,True,casual,False,True,2,False,True,free
136,3.5,None,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,False,None,None,None,None,None,None,None,None,None,False,False,None,False,True,None
137,3.0,beer_and_wine,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,True,average,False,casual,False,True,2,False,True,no
138,2.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,very_loud,False,casual,False,True,2,False,True,no
139,3.5,None,False,False,False,False,False,False,False,False,False,None,True,None,None,None,None,None,None,True,None,None,None,None,None,None,None,True,casual,None,True,2,True,True,None
140,2.0,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,True,False,False,False,False,False,False,None,False,None,True,True,2,True,True,None
141,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,average,False,casual,False,True,2,True,True,free
142,5.0,None,None,None,None,None,None,None,None,None,None,False,True,False,False,False,False,False,None,True,False,False,False,False,False,False,quiet,False,casual,False,True,1,False,True,no
143,3.5,full_bar,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,average,True,casual,False,True,2,False,True,no
144,2.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,average,True,casual,False,True,2,True,True,free
145,3.0,full_bar,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,average,False,casual,False,True,1,False,True,free
146,3.5,None,False,False,False,False,False,False,False,False,False,False,None,None,None,None,None,None,None,True,None,None,None,None,None,None,average,False,casual,True,True,1,False,True,no
147,3.5,None,False,False,False,False,False,False,False,False,False,None,True,None,None,None,None,None,True,None,False,False,False,False,False,False,None,False,casual,True,True,1,False,True,no
148,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,None,True,False,False,False,False,True,True,False,False,False,True,False,True,average,True,casual,False,True,2,True,True,free
149,4.5,full_bar,None,None,None,None,None,None,None,None,None,None,True,False,False,False,False,False,None,None,None,None,None,None,None,None,None,None,casual,None,None,1,None,None,None
150,4.0,full_bar,None,None,None,None,None,None,None,None,None,True,False,False,True,True,False,False,None,None,None,None,None,None,None,None,None,True,None,None,True,1,False,None,free
151,3.5,full_bar,True,False,False,False,False,False,False,False,False,None,True,False,True,False,False,False,None,True,None,None,None,None,None,None,average,True,casual,False,True,2,True,True,free
152,4.0,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,None,False,None,None,None,None,None,None,average,False,casual,False,True,1,False,None,free
153,3.0,full_bar,False,False,False,False,False,False,False,False,False,None,True,False,False,True,False,False,None,True,None,None,None,None,None,None,average,True,casual,False,False,1,False,True,None
154,2.5,None,None,None,None,None,None,None,None,None,None,True,True,None,None,None,None,None,False,True,False,False,False,False,False,True,average,True,casual,False,True,1,False,True,no
155,3.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,average,True,casual,False,True,2,False,True,free
156,2.0,None,False,False,False,False,False,False,False,False,False,None,True,False,False,False,False,False,None,True,False,False,False,False,False,False,None,False,casual,True,True,1,False,True,free
157,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,True,False,True,loud,True,casual,False,True,2,False,True,no
158,4.0,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,average,True,casual,False,True,1,False,True,no
159,3.0,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,average,False,casual,False,True,1,False,True,free
160,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,average,True,casual,False,True,2,True,True,free
161,3.0,None,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,True,loud,False,casual,False,True,2,False,True,free
162,3.5,None,True,False,False,False,False,False,False,False,False,True,True,None,None,None,None,None,True,True,False,False,False,True,False,True,None,False,casual,False,True,2,False,True,free
163,2.5,full_bar,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,average,False,casual,False,True,2,True,True,free
164,3.0,beer_and_wine,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,None,True,False,False,False,False,False,True,average,True,casual,False,True,1,False,True,free
165,4.0,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,average,False,casual,False,True,1,False,True,free
166,4.5,None,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,average,False,casual,False,True,1,False,True,no
167,3.5,None,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,None,None,None,None,None,None,loud,False,casual,False,True,2,False,True,free
168,3.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,None,None,False,True,None,None,None,None
169,3.5,full_bar,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,None,True,None,None,None,None,None,None,average,False,casual,False,True,2,True,True,paid
170,4.0,None,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,False,False,False,False,average,True,casual,False,True,1,True,True,free
171,3.5,full_bar,True,False,False,False,False,False,False,False,False,None,None,False,False,True,False,False,None,False,None,None,None,None,None,None,average,False,casual,False,False,2,False,True,no
